TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL
SU26229RMFS3,2020-01-03,105.55,105.551,105.251,105.35,1426
SU26229RMFS3,2020-01-06,105.549,105.55,105.246,105.35,374
SU26229RMFS3,2020-01-08,105.547,105.549,105.547,105.549,116
SU26229RMFS3,2020-01-09,105.499,105.499,105.3,105.497,253829
SU26229RMFS3,2020-01-10,105.509,105.9,105.509,105.705,690333
SU26229RMFS3,2020-01-13,106.33,106.496,106.001,106.349,439236
SU26229RMFS3,2020-01-14,106.5,106.5,106.255,106.261,57004
SU26229RMFS3,2020-01-15,106.101,106.47,106.01,106.198,1707
SU26229RMFS3,2020-01-16,106.357,106.36,106.198,106.198,8316
SU26229RMFS3,2020-01-17,106.498,106.5,106.121,106.298,787668
SU26229RMFS3,2020-01-20,106.457,106.458,106.069,106.163,496
SU26229RMFS3,2020-01-21,106.162,106.448,106.074,106.074,1026410
SU26229RMFS3,2020-01-22,106.076,106.345,106.076,106.345,263123
SU26229RMFS3,2020-01-23,106.495,106.495,106.251,106.29,700525
SU26229RMFS3,2020-01-24,109.625,109.625,106.251,106.449,1488
SU26229RMFS3,2020-01-27,106.261,106.301,106.0,106.01,10484
SU26229RMFS3,2020-01-28,106.199,106.329,105.849,106.097,137221
SU26229RMFS3,2020-01-29,106.199,106.248,106.1,106.247,193
SU26229RMFS3,2020-01-30,106.25,106.299,106.0,106.2,1123811
SU26229RMFS3,2020-01-31,105.941,106.5,105.94,106.024,204324
SU26229RMFS3,2020-02-03,106.14,106.148,105.831,105.997,264329
SU26229RMFS3,2020-02-04,106.15,106.3,106.0,106.299,1119241
SU26229RMFS3,2020-02-05,106.449,106.546,106.201,106.546,424523
SU26229RMFS3,2020-02-06,109.636,109.636,106.35,106.499,4680759
SU26229RMFS3,2020-02-07,106.587,106.795,106.36,106.65,5863
SU26229RMFS3,2020-02-10,106.849,106.899,106.522,106.742,644
SU26229RMFS3,2020-02-11,106.869,106.88,106.539,106.849,1126
SU26229RMFS3,2020-02-12,106.87,107.0,106.848,106.949,24498
SU26229RMFS3,2020-02-13,107.094,107.097,106.805,106.842,17556
SU26229RMFS3,2020-02-14,107.155,107.25,106.904,107.2,84417
SU26229RMFS3,2020-02-17,107.378,107.378,107.171,107.199,5623
SU26229RMFS3,2020-02-18,107.347,107.349,107.078,107.346,71220
SU26229RMFS3,2020-02-19,107.494,107.494,107.044,107.448,70194
SU26229RMFS3,2020-02-20,107.186,107.797,107.186,107.764,78330
SU26229RMFS3,2020-02-21,107.779,107.78,107.453,107.497,873
SU26229RMFS3,2020-02-25,107.56,107.61,106.99,106.99,707858
SU26229RMFS3,2020-02-26,106.751,107.009,106.601,106.706,411043
SU26229RMFS3,2020-02-27,106.45,106.8,105.87,106.11,1963492
SU26229RMFS3,2020-02-28,106.5,106.5,104.126,104.87,14781
SU26229RMFS3,2020-03-02,105.942,105.942,104.75,105.111,252601
SU26229RMFS3,2020-03-03,105.459,106.441,105.457,106.3,924988
SU26229RMFS3,2020-03-04,105.003,107.349,105.003,107.25,363828
SU26229RMFS3,2020-03-05,107.489,107.489,106.999,107.158,1543445
SU26229RMFS3,2020-03-06,106.28,106.311,105.003,105.4,918719
SU26229RMFS3,2020-03-10,104.504,104.504,101.329,102.69,111434
SU26229RMFS3,2020-03-11,104.744,104.744,100.999,101.491,36571
SU26229RMFS3,2020-03-12,101.091,101.091,98.0,98.35,145730
SU26229RMFS3,2020-03-13,98.89,100.0,98.378,99.0,1285886
SU26229RMFS3,2020-03-16,98.971,99.42,97.15,98.997,56179
SU26229RMFS3,2020-03-17,97.39,98.994,97.39,97.83,16805
SU26229RMFS3,2020-03-18,98.207,98.209,96.002,96.28,134979
SU26229RMFS3,2020-03-19,95.012,99.075,95.012,97.2,220292
SU26229RMFS3,2020-03-20,100.366,100.366,98.0,99.398,371007
SU26229RMFS3,2020-03-23,99.89,99.985,98.039,99.985,275531
SU26229RMFS3,2020-03-24,100.759,101.899,100.0,101.422,907925
SU26229RMFS3,2020-03-25,101.898,102.5,100.931,101.25,996481
SU26229RMFS3,2020-03-26,100.851,101.901,100.85,101.901,1346717
SU26229RMFS3,2020-03-27,102.098,102.3,101.705,101.731,1005837
SU26229RMFS3,2020-03-30,101.7,102.197,101.001,101.831,267115
SU26229RMFS3,2020-03-31,102.75,103.19,102.351,102.996,450108
SU26229RMFS3,2020-04-01,102.701,102.998,102.505,102.997,103865
SU26229RMFS3,2020-04-02,103.0,103.098,102.22,102.499,41491
SU26229RMFS3,2020-04-03,102.989,103.0,102.251,102.9,1016269
SU26229RMFS3,2020-04-06,102.753,103.58,102.753,103.399,1214598
SU26229RMFS3,2020-04-07,103.499,103.499,103.202,103.289,61639
SU26229RMFS3,2020-04-08,102.85,103.346,102.85,103.299,264762
SU26229RMFS3,2020-04-09,103.3,103.78,103.3,103.59,2695617
SU26229RMFS3,2020-04-10,103.592,103.673,103.5,103.55,7429078
SU26229RMFS3,2020-04-13,105.4,105.592,103.48,103.58,80488
SU26229RMFS3,2020-04-14,103.505,103.689,103.47,103.57,36156
SU26229RMFS3,2020-04-15,103.688,103.688,103.12,103.25,1590939
SU26229RMFS3,2020-04-16,103.67,104.05,103.155,104.048,7386007
SU26229RMFS3,2020-04-17,104.048,105.9,104.048,105.9,1882116
SU26229RMFS3,2020-04-20,106.14,106.63,105.751,106.496,905401
SU26229RMFS3,2020-04-21,106.69,106.69,105.22,105.648,4164367
SU26229RMFS3,2020-04-22,105.69,106.595,105.32,106.45,4876692
SU26229RMFS3,2020-04-23,106.783,106.99,106.54,106.85,3362032
