TICKER,DATE,OPEN,HIGH,LOW,CLOSE,VOL
SU26222RMFS8,2020-01-03,104.946,106.906,104.79,104.851,6275
SU26222RMFS8,2020-01-06,104.989,104.989,104.49,104.612,12596
SU26222RMFS8,2020-01-08,104.922,104.923,104.505,104.842,2234
SU26222RMFS8,2020-01-09,104.929,104.985,104.5,104.905,498794
SU26222RMFS8,2020-01-10,104.9,105.569,104.9,105.569,12799
SU26222RMFS8,2020-01-13,106.705,106.705,105.18,105.696,11972
SU26222RMFS8,2020-01-14,105.67,105.672,105.234,105.52,2336497
SU26222RMFS8,2020-01-15,105.648,105.648,105.35,105.35,857387
SU26222RMFS8,2020-01-16,105.598,105.599,105.352,105.403,643194
SU26222RMFS8,2020-01-17,105.849,105.849,105.238,105.401,11490
SU26222RMFS8,2020-01-20,105.717,105.717,105.291,105.404,1985
SU26222RMFS8,2020-01-21,105.283,105.697,105.283,105.649,11129
SU26222RMFS8,2020-01-22,105.709,105.71,105.43,105.55,165749
SU26222RMFS8,2020-01-23,105.499,105.65,105.451,105.557,346343
SU26222RMFS8,2020-01-24,105.649,105.65,105.45,105.65,11234
SU26222RMFS8,2020-01-27,105.749,106.247,105.15,105.289,3456089
SU26222RMFS8,2020-01-28,105.161,105.496,105.16,105.445,273766
SU26222RMFS8,2020-01-29,104.046,105.553,104.046,105.453,14290
SU26222RMFS8,2020-01-30,105.264,105.5,105.2,105.386,27468
SU26222RMFS8,2020-01-31,105.519,105.521,105.151,105.297,545866
SU26222RMFS8,2020-02-03,105.003,105.469,105.003,105.349,1778205
SU26222RMFS8,2020-02-04,105.0,105.519,105.0,105.45,772963
SU26222RMFS8,2020-02-05,105.3,105.55,105.3,105.548,298621
SU26222RMFS8,2020-02-06,105.848,105.848,105.109,105.407,74155
SU26222RMFS8,2020-02-07,105.363,105.819,105.35,105.77,1336804
SU26222RMFS8,2020-02-10,105.777,105.83,105.494,105.7,4377
SU26222RMFS8,2020-02-11,105.829,105.829,105.675,105.817,557366
SU26222RMFS8,2020-02-12,105.8,106.009,105.673,105.862,829136
SU26222RMFS8,2020-02-13,105.87,106.149,105.833,106.05,1753409
SU26222RMFS8,2020-02-14,105.882,106.25,105.882,106.249,44555
SU26222RMFS8,2020-02-17,107.039,107.039,106.02,106.2,54609
SU26222RMFS8,2020-02-18,106.309,106.309,105.817,106.201,370540
SU26222RMFS8,2020-02-19,106.309,106.409,105.825,106.409,80682
SU26222RMFS8,2020-02-20,106.409,106.599,106.269,106.595,116175
SU26222RMFS8,2020-02-21,106.59,106.59,106.321,106.449,3196895
SU26222RMFS8,2020-02-25,106.323,106.496,106.03,106.218,4184971
SU26222RMFS8,2020-02-26,106.296,106.296,105.825,106.184,592672
SU26222RMFS8,2020-02-27,105.9,105.94,104.241,105.151,1609471
