iter	RMSE
148	3.324029285
149	3.30410784
150	3.285989254
151	3.268644731
152	3.249416589
153	3.231570486
154	3.215997284
155	3.198432408
156	3.178776305
157	3.160553399
158	3.142459185
159	3.125582674
160	3.106713422
161	3.089741232
162	3.072338082
163	3.054732165
164	3.039197046
165	3.020847474
166	3.006232466
167	2.990193533
168	2.973802839
169	2.95671758
170	2.941504858
171	2.926589375
172	2.909683269
173	2.894645875
174	2.880136325
175	2.866375593
176	2.851173428
177	2.836294487
178	2.820423605
179	2.806611713
180	2.791697581
181	2.778585743
182	2.764503787
183	2.752066626
184	2.738177488
185	2.724973406
186	2.712471384
187	2.701363557
188	2.687465147
189	2.673227774
190	2.661596798
191	2.64866898
192	2.635271097
193	2.623131572
194	2.610230334
195	2.598259385
196	2.586898846
197	2.575135522
198	2.562259318
199	2.550226594
200	2.539392354
201	2.526400492
202	2.515944332
203	2.505081956
204	2.493356819
205	2.481521176
206	2.471097487
207	2.459314458
208	2.448524975
209	2.437898922
210	2.426969278
211	2.415581142
212	2.404997388
213	2.394952094
214	2.385995076
215	2.375054083
216	2.366968077
217	2.355721001
218	2.346686289
219	2.335649617
220	2.325713331
221	2.317327207
222	2.308611149
223	2.298695977
224	2.290140915
225	2.281225846
226	2.272476847
227	2.263652497
228	2.253905391
229	2.243973321
230	2.234603182
231	2.225794078
232	2.216416646
233	2.207808349
234	2.199734964
235	2.191570679
236	2.182316751
237	2.174546197
238	2.165631979
239	2.158575935
240	2.15137331
241	2.143509169
242	2.134776825
243	2.126710956
244	2.118751288
245	2.110715387
246	2.101544921
247	2.092631685
248	2.084111892
249	2.076449404
250	2.06975387
251	2.063327667
252	2.05653222
253	2.049375095
254	2.042309913
255	2.034508811
256	2.027926121
257	2.020093729
258	2.013210275
259	2.006456075
260	1.999352445
261	1.992409915
262	1.985691443
263	1.978833675
264	1.971325772
265	1.965438165
266	1.959343344
267	1.952207225
268	1.94614221
269	1.939870003
270	1.934349636
271	1.92801184
272	1.922017625
273	1.915739348
274	1.90978077
275	1.904145651
276	1.897881584
277	1.892722275
278	1.886936316
279	1.882133704
280	1.875892063
281	1.870217432
282	1.865133679
283	1.860698312
284	1.856376304
285	1.850570129
286	1.845289565
287	1.840130294
288	1.835680121
289	1.830719272
290	1.825454808
291	1.819920177
292	1.815948933
293	1.810311379
294	1.805868181
295	1.800816884
296	1.797204243
297	1.79206468
298	1.7865606
299	1.78160111
300	1.778044753
301	1.77264729
302	1.76836243
303	1.764087224
304	1.759426215
305	1.754676518
306	1.750259849
307	1.745916048
308	1.741338907
309	1.737149571
310	1.732918293
311	1.728532948
312	1.72393557
313	1.719831859
314	1.715853452
315	1.711948247
316	1.707653948
317	1.704013928
318	1.699985238
319	1.695557316
320	1.691427696
321	1.687783543
322	1.684010256
323	1.681307232
324	1.677772179
325	1.673699368
326	1.670086195
327	1.666872537
328	1.663497944
329	1.659930934
330	1.656313482
331	1.652853663
332	1.649873883
333	1.646276357
334	1.643375181
335	1.641092751
336	1.638124327
337	1.634481524
338	1.630543499
339	1.626957246
340	1.623333303
341	1.620121383
342	1.61784922
343	1.614216411
344	1.611101679
345	1.607915385
346	1.605167279
347	1.601995163
348	1.598102696
349	1.595379488
350	1.592632265
351	1.588988962
352	1.586827759
353	1.583716969
354	1.580668926
355	1.577735459
356	1.574705624
357	1.571792725
358	1.568927176
359	1.56648686
360	1.564753395
361	1.561663587
362	1.559171514
363	1.556810342
364	1.553398699
365	1.550529059
366	1.548242095
367	1.545157806
368	1.542690219
369	1.539610207
370	1.537298976
371	1.534617726
372	1.531423429
373	1.528614128
374	1.526712855
375	1.523930066
376	1.521388406
377	1.518999192
378	1.517202998
379	1.514591031
380	1.512764992
381	1.510340566
382	1.507631364
383	1.505965167
384	1.503680114
385	1.501641688
386	1.499398971
387	1.497513175
388	1.495419534
389	1.493208166
390	1.492101449
391	1.489212641
392	1.487916094
393	1.485499664
394	1.482898783
395	1.480918421
396	1.479124033
397	1.4773538
398	1.475477527
399	1.473252936
400	1.470912244
401	1.4689764
402	1.467055988
403	1.46567627
404	1.463232557
405	1.46142396
406	1.459765643
407	1.457929174
408	1.456168876
409	1.454874042
410	1.45317177
411	1.451325749
412	1.449668666
413	1.44723655
414	1.445514646
415	1.443474529
416	1.441858989
417	1.43962232
418	1.43807952
419	1.436355094
420	1.434764279
421	1.43281704
422	1.4307154
423	1.42904719
424	1.427235065
425	1.425515267
426	1.42434415
427	1.422548124
428	1.420844699
429	1.419348997
430	1.417914772
431	1.416764881
432	1.414987653
433	1.413333836
434	1.411353831
435	1.409575699
436	1.40824229
437	1.407034182
438	1.405167917
439	1.403627168
440	1.401406788
441	1.399710918
442	1.397897656
443	1.396907379
444	1.39582722
445	1.394157203
446	1.392576964
447	1.39096493
448	1.389172437
449	1.387986143
450	1.386843968
451	1.385141247
452	1.383585381
453	1.382081863
454	1.380995285
455	1.379941172
456	1.377824834
457	1.376841239
458	1.375470401
459	1.374228162
460	1.373032841
461	1.371118784
462	1.369063514
463	1.367565635
464	1.366378022
465	1.365428721
466	1.364157075
467	1.362721375
468	1.361451601
469	1.359847326
470	1.358559189
471	1.357365511
472	1.356050015
473	1.354800142
474	1.353633341
475	1.352318672
476	1.351307207
477	1.350095978
478	1.34914584
479	1.348111674
480	1.346768925
481	1.345875698
482	1.345303195
483	1.343962192
484	1.342491781
485	1.341357939
486	1.340579194
487	1.339655025
488	1.338402325
489	1.337431763
490	1.336376483
491	1.335736778
492	1.334765917
493	1.333377553
494	1.332739442
495	1.331771437
496	1.330434455
497	1.329076227
498	1.327728102
499	1.326631211
